내용링크,제목,문제,level,분류,유사도
/problem/1330,두 수 비교하기,"두 정수 A와 B가 주어졌을 때, A와 B를 비교하는 프로그램을 작성하시오.첫째 줄에 다음 세 가지 중 하나를 출력한다.",1,"구현,",기준
/problem/10093,숫자,"두 양의 정수가 주어졌을 때, 두 수 사이에 있는 정수를 모두 출력하는 프로그램을 작성하시오.첫째 줄에 두 수 사이에 있는 수의 개수를 출력한다.",4,"구현,",1.928159595
/problem/14909,양수 개수 세기,주어진 N개의 정수 중에서 양의 정수의 개수를 출력하는 프로그램을 작성하시오.첫째 줄에 양의 정수의 개수를 출력한다.,3,"구현,",1.910322666
/problem/4929,수열 걷기,"길이가 유한하고, 오름차순 순서로 되어있는 두 수열이 주어진다. 두 수열에 공통으로 들어있는 원소는 교차점으로 생각할 수 있다.아래는 두 수열과 교차점은 굵게 나타낸 것이다.수열 1 = 3 5 7 9 20 25 30 40 55 56 57 60 62수열 2 = 1 4 7 11 14 25 44 47 55 57 100이 두 수열은 다음과 같이 걸을 수 있다.두 수열중 하나의 첫 번째 원소에서 걷기를 시작한다. 걷는 것은 앞으로만 걸을 수 있다.교차점에 도착했을 때는, 현재 수열에서 계속 걸을지, 다른 수열로 갈아탈지 결정할 수 있다.방문한 수의 합이 최대가 되는 경로를 구하는 프로그램을 작성하시오. 위의 예에서 3, 5, 7, 9, 20, 25, 44, 47, 55, 56, 57, 60, 62와 같이 걷는다면 합이 450으로 최대가 된다.각 테스트 케이스에 대해서, 얻을 수 있는 최대 합을 출력한다.",9,"구현,",1.908500552
/problem/27736,찬반투표,"중앙대학교에서 재학생을 대상으로 하는 어떤 찬반투표가 치러졌다. 모든 재학생은 각자 찬성이나 반대, 혹은 기권 중 하나로 투표에 응답하였다.해당 투표에서 찬성이 반대보다 많으면 투표가 통과된다. 반대가 찬성보다 많거나, 반대와 찬성의 수가 동일하다면 투표는 통과되지 않는다. 단, 기권한 사람이 재학생의 절반 이상이라면 찬성과 반대의 수와 관계없이 항상 투표는 무효 처리된다.재학생들의 투표 내역을 입력받아 찬반투표의 결과를 출력하는 프로그램을 구현하시오.투표가 통과되었으면 APPROVED, 통과되지 않았으면 REJECTED, 무효 처리되었으면 INVALID를 출력한다.",3,"구현,",1.907759666
/problem/4101,크냐?,"두 양의 정수가 주어졌을 때, 첫 번째 수가 두 번째 수보다 큰지 구하는 프로그램을 작성하시오.각 테스트 케이스마다, 첫 번째 수가 두 번째 수보다 크면 Yes를, 아니면 No를 한 줄에 하나씩 출력한다.",1,"구현,",1.906567097
/problem/9498,시험 성적,"시험 점수를 입력받아 90 ~ 100점은 A, 80 ~ 89점은 B, 70 ~ 79점은 C, 60 ~ 69점은 D, 나머지 점수는 F를 출력하는 프로그램을 작성하시오.시험 성적을 출력한다.",1,"구현,",기준
/problem/14649,문홍안,"대한 마을의 계곡에는 100개의 돌이 일렬로 놓인 징검다리가 있다. 원래 징검다리의 돌들은 평범한 돌이었지만 마을의 무속인 최손실 씨의 저주에 걸려 특별한 성질을 띠게 되었다. 그것은 바로 한 번 밟을 때마다 돌의 색깔이 바뀐다는 것이다. 돌은 파란색, 빨간색, 초록색 중 하나의 색깔을 가지며 파란색일 때 밟으면 빨간색, 빨간색일 때 밟으면 초록색, 초록색일 때 밟으면 다시 파란색으로 바뀐다. 편의상 돌의 번호를 징검다리의 왼쪽부터 1번이라고 하자.대한 마을에 사는 김그네 씨에게는 세 명의 아들이 있다. 첫째 아들 문주인 씨는 파란색을 좋아한다. 둘째 아들 홍지표 씨는 빨간색을 좋아한다. 셋째 아들 안청소 씨는 초록색을 좋아한다.김그네 씨는 재산을 세 명에게 어떻게 분배할지 고민이 되었지만, 강에 있는 그 징검다리를 떠올리고 좋은 방법을 생각해냈다. 다음 날, 김그네 씨는 N명의 비서들을 징검다리 돌에 임의로 배치시켰다. 그러고는 모두 왼쪽 또는 오른쪽을 바라보고 서도록 했다. 비서들이 처음 돌 위에 올라섰을 때의 모든 돌의 색깔은 파란색이다.김그네 씨가 ""시작!""을 외치는 순간 N명의 비서들은 모두 자신이 바라보는 방향으로 1초마다 한 번씩 다음 돌로 건너간다. 징검다리의 돌은 충분히 넓기 때문에, 여러 명이 한 돌을 동시에 지나갈 수 있다.김그네 씨는 모든 비서들이 징검다리를 건넜을 때, 최종적으로 남아있는 색깔별 돌들의 개수에 비례해서 재산을 물려주려고 한다. 이를테면 색깔별 돌의 개수를 각각 a, b, c라고 할 때, 재산을 a:b:c로 배분해서 나눠주는 것이다. 김그네 씨의 아들들은 재산을 얼마나 물려받을 수 있을까?세 줄에 걸쳐서 문주인, 홍지표, 안청소 씨 순서대로 물려받을 재산을 소수점 둘째 자리까지 출력한다.",4,"구현,",1.820175588
/problem/1453,피시방 알바,"세준이는 피시방에서 아르바이트를 한다. 세준이의 피시방에는 1번부터 100번까지 컴퓨터가 있다.들어오는 손님은 모두 자기가 앉고 싶은 자리에만 앉고싶어한다. 따라서 들어오면서 번호를 말한다. 만약에 그 자리에 사람이 없으면 그 손님은 그 자리에 앉아서 컴퓨터를 할 수 있고, 사람이 있다면 거절당한다.거절당하는 사람의 수를 출력하는 프로그램을 작성하시오. 자리는 맨 처음에 모두 비어있고, 어떤 사람이 자리에 앉으면 자리를 비우는 일은 없다.첫째 줄에 거절당하는 사람의 수를 출력한다.",4,"구현,",1.812266767
/problem/10801,카드게임,"두 사람 A와 B는 1부터 10까지의 숫자가 하나씩 적힌 열 장의 카드로 ‘게임’을 한다. 게임은 총 열 번의 ‘라운드’로 구성되고, 각 라운드 마다 자신이 가지고 있는 카드 중 하나를 제시하고, 한 번 제시한 카드는 버린다. 게임 승패는 다음과 같이 결정된다. 각 라운드는 더 높은 숫자를 제시한 사람이 승리하고, 제시한 숫자가 같은 경우는 비긴다. 열 번의 라운드에서 더 많은 라운드를 승리한 사람이 게임을 승리하고, 승리한 라운드 횟수가 동일한 경우 비긴다. 다음은 게임의 한 예로, 각 라운드마다 A와 B가 제시한 카드의 숫자와 각 라운드의 승자를 보여준다. (비긴 라운드는 D로 표시함)라운드12345678910A의 카드67514102389B의 카드11029483756라운드 승자ABABDABBAAA는 5번의 라운드에서 승리하고 B는 4번의 라운드에서 승리하였으므로, 이 게임은 A가 승리한다. 라운드 순서대로 A와 B가 제시한 카드의 숫자가 주어졌을 때, 게임의 승자를 판단하는 프로그램을 작성하시오.게임의 승패가 결정되는 경우 승리한 사람을 출력하고, 비기는 경우에는 D를 출력한다. ",4,"구현,",1.725085557
