내용링크,제목,문제,level,분류,유사도
/problem/11279,최대 힙,"널리 잘 알려진 자료구조 중 최대 힙이 있다. 최대 힙을 이용하여 다음과 같은 연산을 지원하는 프로그램을 작성하시오.배열에 자연수 x를 넣는다.배열에서 가장 큰 값을 출력하고, 그 값을 배열에서 제거한다. 프로그램은 처음에 비어있는 배열에서 시작하게 된다.입력에서 0이 주어진 횟수만큼 답을 출력한다. 만약 배열이 비어 있는 경우인데 가장 큰 값을 출력하라고 한 경우에는 0을 출력하면 된다.",9.0,"자료 구조,우선순위 큐,",기준
/problem/1927,최소 힙,"널리 잘 알려진 자료구조 중 최소 힙이 있다. 최소 힙을 이용하여 다음과 같은 연산을 지원하는 프로그램을 작성하시오.배열에 자연수 x를 넣는다.배열에서 가장 작은 값을 출력하고, 그 값을 배열에서 제거한다.프로그램은 처음에 비어있는 배열에서 시작하게 된다.입력에서 0이 주어진 횟수만큼 답을 출력한다. 만약 배열이 비어 있는 경우인데 가장 작은 값을 출력하라고 한 경우에는 0을 출력하면 된다.",9.0,"자료 구조,우선순위 큐,",1.997202754020691
/problem/2696,중앙값 구하기,"어떤 수열을 읽고, 홀수번째 수를 읽을 때 마다, 지금까지 입력받은 값의 중앙값을 출력하는 프로그램을 작성하시오.예를 들어, 수열이 1, 5, 4, 3, 2 이면, 홀수번째 수는 1번째 수, 3번째 수, 5번째 수이고, 1번째 수를 읽었을 때 중앙값은 1, 3번째 수를 읽었을 때는 4, 5번째 수를 읽었을 때는 3이다.각 테스트 케이스에 대해 첫째 줄에 출력하는 중앙값의 개수를 출력하고, 둘째 줄에는 홀수 번째 수를 읽을 때 마다 구한 중앙값을 차례대로 공백으로 구분하여 출력한다. 이때, 한 줄에 10개씩 출력해야 한다.",14.0,"자료 구조,우선순위 큐,",1.9435752034187317
/problem/17612,쇼핑몰,"대형 쇼핑몰에서 쇼핑을 마친 N명의 고객들이 계산을 하고 쇼핑몰을 떠나고자 계산대 앞에 줄을 서 있다. 각 고객은 커다란 짐수레(cart)에 물건을 담아 계산대로 간다. 쇼핑몰에는 아래 그림과 같이 K개의 계산대가 병렬로 배치되어 있다.  쇼핑몰 안내원들은 계산대에 온 사람들을 가장 빨리 계산을 마칠 수 있는 계산대로 안내를 한다. 안내원은 각 계산대에서 기다리고 있는 사람들이 계산을 하는데 얼마나 걸리는지 이미 알고 있다.안내원이 고객을 계산대로 안내할 때 두 계산대에서 기다려야 할 시간이 같을 경우에는 가장 번호가 작은 계산대로 안내를 한다. 즉 3번, 5번 계산대에서 기다릴 시간이 똑같이 15분으로 최소일 경우에는 3번으로 안내를 한다.계산을 마친 고객은 출구를 통하여 쇼핑몰을 완전히 빠져 나간다. 만일 계산대에서 계산을 마친 고객의 시간이 동일하다면 출구에 가까운 높은 번호 계산대의 고객부터 먼저 빠져나간다. 예를 들어 두 계산대 4번과 10번에서 두 고객이 동시에 계산을 마쳤다면 계산대의 번호가 더 높은 10번 계산대의 고객이 먼저 쇼핑몰을 나간다. 물건을 계산하는 데에는 종류에 관계없이 동일하게 1분이 소요된다. 즉, 물건이 w개 있는 손님이 계산을 마치는 데에는 정확히 w분이 소요된다.여러분은 계산대로 들어가기 위하여 줄을 서 있는 고객 N명의 정보( 회원번호, 구매한 물건의 수)를 알고 있을 때, 이들이 계산을 하고 쇼핑몰을 빠져나오는 순서를 구해야 한다. 계산대로 들어가고 계산대에서 나오는데 걸리는 시간은 없다고 가정한다.고객 N명의 회원번호를 쇼핑몰을 빠져나가는 순서대로 r1, r2, ..., rN이라 할 때, 1×r1 + 2×r2 + ... + N×rN의 값을 출력한다. 출력값이 int 범위를 넘어갈 수 있음에 유의하라.",14.0,"자료 구조,우선순위 큐,",1.9102075099945068
/problem/14235,크리스마스 선물,"크리스마스에는 산타가 착한 아이들에게 선물을 나눠준다. 올해도 산타는 선물을 나눠주기 위해 많은 노력을 하고 있는데, 전세계를 돌아댕기며 착한 아이들에게 선물을 나눠줄 것이다. 하지만 산타의 썰매는 그렇게 크지 않기 때문에, 세계 곳곳에 거점들을 세워 그 곳을 방문하며 선물을 충전해 나갈 것이다. 또한, 착한 아이들을 만날 때마다 자신이 들고있는 가장 가치가 큰 선물 하나를 선물해 줄 것이다.이제 산타가 선물을 나눠줄 것이다. 차례대로 방문한 아이들과 거점지의 정보들이 주어졌을 때, 아이들이 준 선물들의 가치들을 출력하시오. 만약 아이들에게 줄 선물이 없다면 -1을 출력하시오.a가 0일 때마다, 아이들에게 준 선물의 가치를 출력하시오. 만약 줄 선물이 없다면 -1을 출력하라. 적어도 하나의 출력이 있음을 보장한다.",8.0,"자료 구조,우선순위 큐,",1.8912116289138794
/problem/21773,가희와 프로세스 1,"가희는 스케쥴러를 구현하라는 과제를 받았습니다. 스케쥴러가 실행시킬 프로세스를 선택하는 기준은 아래와 같습니다.우선 순위 값이 제일 큰 프로세스우선 순위 값이 제일 큰 프로세스가 여러 개라면, id가 가장 작은 프로세스가희가 만든 스케쥴러는 다음 알고리즘으로 실행됩니다.실행시킬 프로세스를 기준에 따라 선택합니다. 선택된 프로세스의 id를 ids라 합니다. ids를 실행시킵니다.1초가 지난 후, 프로세스 id가 ids인 프로세스를 제외한 나머지 프로세스들의 우선 순위가 1 상승합니다. 	프로세스 id가 ids 인 프로세스의 실행을 마치는 데 필요한 시간은 1 감소합니다.실행 시간이 남은 프로세스가 있다면 1로 돌아가고, 그렇지 않으면 종료합니다.동시에 실행되는 프로세스는 1개이고, 1초일 때 가희가 만든 스케쥴러는 최초로 선택한 프로세스를 실행시키는 작업을 합니다.가희는 1초일 때 부터 T초일 때 까지, 스케쥴러가 선택한 프로세스의 id를 알고 싶습니다. 가희를 도와주세요.T개의 정수를 T개의 줄에 출력합니다.",11.0,"자료 구조,우선순위 큐,",1.8860915303230286
/problem/23088,Aging,"우선순위 스케줄링은 우선순위가 높은 프로세스가 리소스를 먼저 사용하도록 하는 스케줄링 기법이다. 프로세스의 우선순위를 적절하게 할당할 수 있다면 우선순위가 높은 프로세스를 먼저 처리하는 것이 합리적일 것이라는 고찰로부터 고안되었다.하지만 우선순위가 높은 프로세스들이 계속해서 요청된다면 우선순위가 낮은 프로세스는 순위에 밀려 영원히 실행되지 않을 수도 있게 된다. 이런 현상을 starvation이라고 한다. 프로세스 간 우선순위 책정이 항상 정확하게 이루어진다는 보장이 없기 때문에 우선순위가 낮다고 해서 실행되지 않아도 되는 것은 아니다. 우선순위가 높은 프로세스를 먼저 처리하지만 모든 요청된 프로세스가 고루 실행될 수 있도록 하려면 starvation을 해결해야 한다.aging은 starvation을 근본적으로 해결하는 방법이다. aging은 실행되지 않고 준비 큐에 대기 중인 프로세스들의 우선순위를 점진적으로 증가시킨다. 이렇게 하면 실행되지 못하고 큐에 남은 프로세스는 어느 순간부터는 최고 우선순위를 가지게 되고 반드시 실행될 수 있다.용광이는 운영체제 과목의 자유 과제로 aging이 적용된 우선순위 스케줄러를 제출해서 고득점을 노려보기로 했다. 용광이가 구현할 우선순위 스케줄러는 다음과 같은 조건을 만족한다.각 프로세스에 입력된 순서대로 번호를 부여한다. 첫 번째로 입력된 프로세스에는 1번, 두 번째로 입력된 프로세스에는 2번, ..., K번째로 입력된 프로세스에는 K번을 부여한다.현재 실행되고 있는 프로세스가 없다면, 지금까지 실행 요청된 프로세스 중 우선순위가 가장 높은 프로세스가 실행된다.우선순위가 같은 프로세스가 여러 개라면 실행 시간이 짧은 프로세스가 먼저 실행된다.우선순위가 같고 실행 시간이 같은 프로세스가 여러 개라면 부여된 번호가 작은 프로세스가 먼저 실행된다.실행 요청되었지만 실행되지 않은 프로세스는 단위 시간당 우선순위가 1씩 증가한다.한 프로세스가 실행 중인 동안에는 다른 프로세스가 요청되어도 실행을 중단하지 않는다.용광이는 우선순위 스케줄러를 완성했지만 자기가 만든 스케줄러가 정확하게 동작하는지는 알 수 없었다. 이래서는 과제 제출을 할 수 없다.용광이가 고득점의 꿈을 버리지 않도록 스케줄러가 올바르게 동작하는지 확인해주는 프로그램을 만들어보자.프로세스가 실행되는 순서대로, 해당 프로세스의 번호를 공백으로 구분하여 출력한다.",14.0,"자료 구조,우선순위 큐,",1.8835115432739258
/problem/1655,가운데를 말해요,"백준이는 동생에게 ""가운데를 말해요"" 게임을 가르쳐주고 있다. 백준이가 정수를 하나씩 외칠때마다 동생은 지금까지 백준이가 말한 수 중에서 중간값을 말해야 한다. 만약, 그동안 백준이가 외친 수의 개수가 짝수개라면 중간에 있는 두 수 중에서 작은 수를 말해야 한다.예를 들어 백준이가 동생에게 1, 5, 2, 10, -99, 7, 5를 순서대로 외쳤다고 하면, 동생은 1, 1, 2, 2, 2, 2, 5를 차례대로 말해야 한다. 백준이가 외치는 수가 주어졌을 때, 동생이 말해야 하는 수를 구하는 프로그램을 작성하시오.한 줄에 하나씩 N줄에 걸쳐 백준이의 동생이 말해야 하는 수를 순서대로 출력한다.",14.0,"자료 구조,우선순위 큐,",1.8786228895187378
/problem/19638,센티와 마법의 뿅망치,"센티는 마법 도구들을 지니고 여행을 떠나는 것이 취미인 악당이다.거인의 나라에 도착한 센티는 자신보다 키가 크거나 같은 거인들이 있다는 사실이 마음에 들지 않았다.센티가 꺼내 들은 마법 도구는 바로 마법의 뿅망치로, 이 뿅망치에 맞은 사람의 키가 ⌊ 뿅망치에 맞은 사람의 키 / 2 ⌋로 변하는 마법 도구이다. 단, 키가 1인 경우 더 줄어들 수가 없어 뿅망치의 영향을 받지 않는다.하지만 마법의 뿅망치는 횟수 제한이 있다. 그래서 센티는 마법의 뿅망치를 효율적으로 사용하기 위한 전략을 수립했다. 바로 매번 가장 키가 큰 거인 가운데 하나를 때리는 것이다.과연 센티가 수립한 전략에 맞게 마법의 뿅망치를 이용한다면 거인의 나라의 모든 거인이 센티보다 키가 작도록 할 수 있을까?마법의 뿅망치를 센티의 전략대로 이용하여 거인의 나라의 모든 거인이 센티보다 키가 작도록 할 수 있는 경우, 첫 번째 줄에 YES를 출력하고, 두 번째 줄에 마법의 뿅망치를 최소로 사용한 횟수를 출력한다.",10.0,"자료 구조,구현,우선순위 큐,",1.844413786342213
/problem/17277,주식,"당신은 주식을 사고 팔아 이윤을 남기고 싶다. 주식 투자에 대한 법이 최근 바뀌어 아래와 같은 제한이 있다.시장은 1일차부터 n일차까지, n일 동안만 개장된다.당신은 그 중에 연속된 k일 (k ≥ 1) 기간 동안에만 참가할 수 있다. 참가하는 날에는 무조건 매일 주식을 사야 한다.당신이 주식을 살 때의 가격은, 매일 y원으로, 언제나 일정하다.당신이 주식을 팔 때의 가격은, i일차에 산 경우 V[i]원으로, 산 날짜에 따라 다르다. V[i]는 음수일 수 있다.당신은 초기 자금 X원을 가지고 참가한다.당신은 시장 개장 기간인 n일차가 지나기 전까지는 산 주식을 팔 수 없다.당신은 최소 Z원 이상의 이윤을 남겨야 한다. (Z ≥ 0)즉, 1 ≤ i ≤ j ≤ n을 만족하는 i일차부터 j일차까지 주식을 샀다면,(V[i] + V[i+1] + … + V[j-1] + V[j]) - y × (j - i + 1) ≥ Z 및 y × (j - i + 1) ≤ X 을 만족해야 한다.이 때, 당신의 목표는 Z원 이상의 이윤을 남길 수 있는 구매 방법 중에서 가장 짧은 기간을 찾는 것이다.다시 말해서, 이윤은 Z원 이상만 남길 수 있다면 아무래도 상관없고, 최대한 짧은 기간 동안에 Z원 이상의 이윤을 남기는 방법을 찾고 싶다. 그러한 기간을 나타내는 시작일/종료일 i, j를 출력하는 프로그램을 만드시오.동일한 최단 기간 구매법이 복수 존재한다면, 그 중 i가 가장 큰 (즉, 시장에 가장 늦게 진입하는) 기간을 출력하시오.Z원 이상의 이윤을 남길 수 있는 방법이 존재하지 않는다면, -1을 출력하시오.각 테스트 케이스에 대해 한 줄에 답을 출력한다. 문제에서 언급된 조건들을 만족하는 i, j가 존재하지 않을 경우 -1을 출력하고, 아닌 경우 묘사된대로 (j - i + 1)을 최소화 하는 (i, j) 중 i값이 최대가 되는 i, j 를  공백으로 구분하여 출력한다.",17.0,"자료 구조,우선순위 큐,",1.8113911151885986
/problem/11286,절댓값 힙,"절댓값 힙은 다음과 같은 연산을 지원하는 자료구조이다.배열에 정수 x (x ≠ 0)를 넣는다.배열에서 절댓값이 가장 작은 값을 출력하고, 그 값을 배열에서 제거한다. 절댓값이 가장 작은 값이 여러개일 때는, 가장 작은 수를 출력하고, 그 값을 배열에서 제거한다.프로그램은 처음에 비어있는 배열에서 시작하게 된다.입력에서 0이 주어진 회수만큼 답을 출력한다. 만약 배열이 비어 있는 경우인데 절댓값이 가장 작은 값을 출력하라고 한 경우에는 0을 출력하면 된다.",10.0,"자료 구조,우선순위 큐,",기준
